Iteration	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
950	-2690.81	-2521.11	-169.7	2.160374	888.0283	443	0
960	-2689.01	-2519.31	-169.7	2.160374	887.9605	443	0
970	-2690.97	-2521.27	-169.7	2.160374	887.9706	443	0
980	-2686.31	-2516.61	-169.7	2.160374	887.871	443	0
990	-2688.7	-2519	-169.7	2.160374	887.9084	443	0
1000	-2686.6	-2516.9	-169.7	2.160374	887.9984	443	0
1010	-2690.98	-2521.28	-169.7	2.160374	887.9677	443	0
1020	-2692.78	-2523.08	-169.7	2.160374	887.9246	443	0
1030	-2697.17	-2527.47	-169.7	2.160374	888.0972	443	0
1040	-2694.8	-2525.1	-169.7	2.160374	888.0557	443	0
1050	-2697.66	-2527.96	-169.7	2.160374	888.0339	443	0
1060	-2694.04	-2524.34	-169.7	2.160374	888.1252	443	0
1070	-2693.81	-2524.11	-169.7	2.160374	887.9963	443	0
1080	-2695.57	-2525.87	-169.7	2.160374	887.9698	443	0
1090	-2681.86	-2512.16	-169.7	2.160374	888.0146	443	0
1100	-2686.96	-2517.26	-169.7	2.160374	888.0248	443	0
1110	-2682.95	-2513.25	-169.7	2.160374	888.0741	443	0
1120	-2683.69	-2513.99	-169.7	2.160374	887.966	443	0
1130	-2681.72	-2512.02	-169.7	2.160374	888.0081	443	0
1140	-2679.37	-2509.67	-169.7	2.160374	887.9501	443	0
1150	-2686.9	-2517.2	-169.7	2.160374	888.0906	443	0
1160	-2693.11	-2523.41	-169.7	2.160374	888.1416	443	0
1170	-2688.15	-2518.45	-169.7	2.160374	888.1665	443	0
1180	-2686.31	-2516.61	-169.7	2.160374	888.0034	443	0
1190	-2688.13	-2518.43	-169.7	2.160374	888.1319	443	0
1200	-2685.64	-2515.94	-169.7	2.160374	888.0094	443	0
1210	-2681.86	-2512.16	-169.7	2.160374	888.0142	443	0
1220	-2689.18	-2519.48	-169.7	2.160374	887.9045	443	0
1230	-2685.56	-2515.86	-169.7	2.160374	887.8548	443	0
1240	-2687.03	-2517.33	-169.7	2.160374	887.8901	443	0
1250	-2686.24	-2516.54	-169.7	2.160374	887.8875	443	0
1260	-2686.43	-2516.73	-169.7	2.160374	888.0064	443	0
1270	-2685.32	-2515.62	-169.7	2.160374	888.0582	443	0
1280	-2681.95	-2512.25	-169.7	2.160374	887.9482	443	0
1290	-2688.02	-2518.32	-169.7	2.160374	887.9018	443	0
1300	-2687.67	-2517.97	-169.7	2.160374	887.9386	443	0
1310	-2681.96	-2512.26	-169.7	2.160374	888.0598	443	0
1320	-2681.61	-2511.91	-169.7	2.160374	887.9969	443	0
1330	-2684.46	-2514.76	-169.7	2.160374	888.0128	443	0
1340	-2684.93	-2515.23	-169.7	2.160374	888.0022	443	0
1350	-2682.88	-2513.18	-169.7	2.160374	887.9988	443	0
1360	-2687.04	-2517.34	-169.7	2.160374	887.8468	443	0
1370	-2692.6	-2522.9	-169.7	2.160374	887.8917	443	0
1380	-2685.37	-2515.67	-169.7	2.160374	887.9624	443	0
1390	-2682.2	-2512.5	-169.7	2.160374	887.9782	443	0
1400	-2682.51	-2512.81	-169.7	2.160374	888.003	443	0
1410	-2688.19	-2518.49	-169.7	2.160374	888.0048	443	0
1420	-2683.96	-2514.26	-169.7	2.160374	887.8689	443	0
1430	-2680.31	-2510.61	-169.7	2.160374	887.971	443	0
1440	-2683.39	-2513.69	-169.7	2.160374	887.8604	443	0
1450	-2683.13	-2513.43	-169.7	2.160374	887.7822	443	0
1460	-2681.32	-2511.62	-169.7	2.160374	887.8112	443	0
1470	-2684.44	-2514.74	-169.7	2.160374	887.7782	443	0
1480	-2684.98	-2515.28	-169.7	2.160374	887.838	443	0
1490	-2689.28	-2519.58	-169.7	2.160374	887.8792	443	0
1500	-2683.86	-2514.16	-169.7	2.160374	887.8588	443	0
1510	-2681.58	-2511.88	-169.7	2.160374	887.8489	443	0
1520	-2689.8	-2520.1	-169.7	2.160374	887.9138	443	0
1530	-2681.22	-2511.52	-169.7	2.160374	887.9475	443	0
1540	-2683.27	-2513.57	-169.7	2.160374	887.8037	443	0
1550	-2681.6	-2511.9	-169.7	2.160374	887.8658	443	0
1560	-2681.13	-2511.43	-169.7	2.160374	887.882	443	0
1570	-2683.51	-2513.81	-169.7	2.160374	887.9838	443	0
1580	-2684.67	-2514.97	-169.7	2.160374	888.0435	443	0
1590	-2682.08	-2512.38	-169.7	2.160374	887.9685	443	0
1600	-2683.06	-2513.36	-169.7	2.160374	888.0169	443	0
1610	-2683.39	-2513.69	-169.7	2.160374	887.9463	443	0
1620	-2684.81	-2515.11	-169.7	2.160374	888.0039	443	0
1630	-2688.49	-2518.79	-169.7	2.160374	888.0441	443	0
1640	-2687.76	-2518.06	-169.7	2.160374	888.0109	443	0
1650	-2686.5	-2516.8	-169.7	2.160374	888.041	443	0
1660	-2686.74	-2517.04	-169.7	2.160374	888.0553	443	0
1670	-2686.34	-2516.64	-169.7	2.160374	888.0247	443	0
1680	-2684.08	-2514.38	-169.7	2.160374	887.9949	443	0
1690	-2681.41	-2511.71	-169.7	2.160374	888.0348	443	0
1700	-2681.82	-2512.12	-169.7	2.160374	888.0475	443	0
1710	-2692.76	-2523.06	-169.7	2.160374	888.111	443	0
1720	-2685.42	-2515.72	-169.7	2.160374	888.08	443	0
1730	-2688.41	-2518.71	-169.7	2.160374	888.1204	443	0
1740	-2688.2	-2518.5	-169.7	2.160374	888.1021	443	0
1750	-2689.48	-2519.78	-169.7	2.160374	888.0052	443	0
1760	-2683.64	-2513.94	-169.7	2.160374	887.9721	443	0
1770	-2686	-2516.3	-169.7	2.160374	888.0222	443	0
1780	-2683.1	-2513.4	-169.7	2.160374	887.9429	443	0
1790	-2683.35	-2513.65	-169.7	2.160374	888.0418	443	0
1800	-2688.78	-2519.08	-169.7	2.160374	887.9279	443	0
1810	-2686.61	-2516.91	-169.7	2.160374	888.034	443	0
1820	-2684.64	-2514.94	-169.7	2.160374	888.0307	443	0
1830	-2688.44	-2518.74	-169.7	2.160374	887.9582	443	0
