Iteration	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
0	-1968.58	-1802.61	-165.964	1.044116	887.0235	0.1468431	0.13551
10	-1966.68	-1800.72	-165.964	1.044116	886.9847	0.1332371	0.13551
20	-1969.16	-1803.2	-165.964	1.044116	887.0245	0.1368917	0.13551
30	-1967.03	-1801.06	-165.964	1.044116	887.0825	0.1470995	0.13551
40	-1967.77	-1801.81	-165.964	1.044116	886.9641	0.1348311	0.13551
50	-1964.86	-1798.9	-165.964	1.044116	887.0196	0.1364838	0.13551
60	-1970.89	-1804.92	-165.964	1.044116	887.0767	0.1347062	0.13551
70	-1971.29	-1805.33	-165.964	1.044116	887.0761	0.1344138	0.13551
80	-1966.83	-1800.87	-165.964	1.044116	887.073	0.139607	0.13551
90	-1970.99	-1805.03	-165.964	1.044116	887.0949	0.1373412	0.13551
100	-1974.04	-1808.08	-165.964	1.044116	887.1524	0.1378185	0.13551
110	-1967.56	-1801.59	-165.964	1.044116	887.0579	0.1447342	0.13551
120	-1968.3	-1802.34	-165.964	1.044116	887.1205	0.1423962	0.13551
130	-1965.19	-1799.22	-165.964	1.044116	887.0648	0.1436368	0.13551
140	-1966.08	-1800.11	-165.964	1.044116	887.1492	0.1349212	0.13551
150	-1967.4	-1801.44	-165.964	1.044116	887.103	0.1534297	0.13551
160	-1974.56	-1808.6	-165.964	1.044116	887.0544	0.1400823	0.13551
170	-1973.45	-1807.48	-165.964	1.044116	887.1547	0.1433844	0.13551
180	-1971.75	-1805.78	-165.964	1.044116	887.106	0.1470451	0.13551
190	-1968.01	-1802.05	-165.964	1.044116	887.1918	0.143657	0.13551
200	-1967.73	-1801.77	-165.964	1.044116	887.0121	0.1399845	0.13551
210	-1972.57	-1806.61	-165.964	1.044116	887.073	0.1333665	0.13551
220	-1974.3	-1808.34	-165.964	1.044116	887.1224	0.1569229	0.13551
230	-1967.34	-1801.38	-165.964	1.044116	887.0779	0.1392466	0.13551
240	-1967.98	-1802.02	-165.964	1.044116	887.1362	0.1427913	0.13551
250	-1968.06	-1802.1	-165.964	1.044116	887.1218	0.1436188	0.13551
260	-1973.88	-1807.91	-165.964	1.044116	887.0127	0.1355581	0.13551
270	-1973.02	-1807.06	-165.964	1.044116	886.9837	0.1455846	0.13551
280	-1965.57	-1799.61	-165.964	1.044116	887.022	0.1459005	0.13551
290	-1967.29	-1801.33	-165.964	1.044116	887.1652	0.1469175	0.13551
300	-1969.14	-1803.17	-165.964	1.044116	887.0346	0.1367895	0.13551
310	-1969.77	-1803.81	-165.964	1.044116	887.0319	0.146515	0.13551
320	-1965.88	-1799.92	-165.964	1.044116	887.0465	0.137587	0.13551
330	-1969.5	-1803.54	-165.964	1.044116	887.0457	0.1421677	0.13551
340	-1972.39	-1806.42	-165.964	1.044116	886.9909	0.1386386	0.13551
350	-1969.25	-1803.28	-165.964	1.044116	887.0632	0.1461199	0.13551
360	-1966.02	-1800.06	-165.964	1.044116	887.1546	0.1393862	0.13551
370	-1967.75	-1801.79	-165.964	1.044116	887.0982	0.1467364	0.13551
380	-1969.12	-1803.16	-165.964	1.044116	887.0914	0.1522811	0.13551
390	-1969.48	-1803.51	-165.964	1.044116	887.0856	0.1504791	0.13551
400	-1967.58	-1801.61	-165.964	1.044116	887.1118	0.1346969	0.13551
410	-1966.97	-1801.01	-165.964	1.044116	887.0243	0.1345298	0.13551
420	-1968.07	-1802.1	-165.963	1.044116	886.943	0.1460242	0.13551
430	-1972.83	-1806.87	-165.964	1.044116	887.0691	0.137176	0.13551
440	-1976.2	-1810.24	-165.964	1.044116	887.0809	0.141984	0.13551
450	-1967.71	-1801.75	-165.964	1.044116	886.9643	0.1386463	0.13551
460	-1973.04	-1807.07	-165.964	1.044116	887.0334	0.1375154	0.13551
470	-1975.95	-1809.98	-165.964	1.044116	887.0548	0.1462072	0.13551
480	-1970.18	-1804.22	-165.964	1.044116	887.082	0.1365222	0.13551
490	-1969.24	-1803.27	-165.964	1.044116	887.1005	0.1410581	0.13551
500	-1967.26	-1801.29	-165.964	1.044116	887.0415	0.1316998	0.13551
510	-1968.69	-1802.73	-165.964	1.044116	887.107	0.1347822	0.13551
