Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
81	1	-2730.3	-2560.6	-169.7	2.160374	888.0931	443	0
82	0	-1966.97	-1801.01	-165.964	1.044116	887.0243	0.1345298	0.13551
83	1	-2690.22	-2520.52	-169.7	2.160374	888.0986	443	0
84	0	-1968.07	-1802.1	-165.963	1.044116	886.943	0.1460242	0.13551
85	1	-2692.11	-2522.41	-169.7	2.160374	888.1546	443	0
86	0	-1972.83	-1806.87	-165.964	1.044116	887.0691	0.137176	0.13551
87	1	-2695.39	-2525.69	-169.7	2.160374	888.1135	443	0
88	0	-1976.2	-1810.24	-165.964	1.044116	887.0809	0.141984	0.13551
89	1	-2688.95	-2519.25	-169.7	2.160374	888.1291	443	0
90	0	-1967.71	-1801.75	-165.964	1.044116	886.9643	0.1386463	0.13551
91	1	-2696.14	-2526.44	-169.7	2.160374	888.1373	443	0
92	0	-1973.04	-1807.07	-165.964	1.044116	887.0334	0.1375154	0.13551
93	1	-2687.96	-2518.26	-169.7	2.160374	888.097	443	0
94	0	-1975.95	-1809.98	-165.964	1.044116	887.0548	0.1462072	0.13551
95	1	-2690.22	-2520.52	-169.7	2.160374	888.0712	443	0
96	0	-1970.18	-1804.22	-165.964	1.044116	887.082	0.1365222	0.13551
97	1	-2693.26	-2523.56	-169.7	2.160374	887.9531	443	0
98	0	-1969.24	-1803.27	-165.964	1.044116	887.1005	0.1410581	0.13551
99	1	-2693.34	-2523.64	-169.7	2.160374	887.9748	443	0
100	0	-1967.26	-1801.29	-165.964	1.044116	887.0415	0.1316998	0.13551
101	1	-2694.89	-2525.19	-169.7	2.160374	887.9483	443	0
102	0	-1968.69	-1802.73	-165.964	1.044116	887.107	0.1347822	0.13551
103	1	-2691.02	-2521.32	-169.7	2.160374	887.9955	443	0
104	0	-1973.94	-1807.98	-165.964	1.044116	887.0728	0.1379147	0.13551
105	1	-2694.28	-2524.58	-169.7	2.160374	887.956	443	0
106	0	-1967.49	-1801.53	-165.964	1.044116	887.0875	0.1374949	0.13551
107	1	-2693.26	-2523.56	-169.7	2.160374	887.9722	443	0
108	0	-1968.53	-1802.56	-165.964	1.044116	887.0375	0.1385066	0.13551
109	1	-2691.24	-2521.54	-169.7	2.160374	887.9955	443	0
110	0	-1966.75	-1800.79	-165.964	1.044116	886.9808	0.1374272	0.13551
111	1	-2699.58	-2529.88	-169.7	2.160374	887.9669	443	0
112	0	-1965.53	-1799.57	-165.964	1.044116	887.0013	0.1348489	0.13551
113	1	-2696.87	-2527.17	-169.7	2.160374	888.151	443	0
114	0	-1968.25	-1802.29	-165.964	1.044116	887.1145	0.1466601	0.13551
115	1	-2692.71	-2523.01	-169.7	2.160374	888.0707	443	0
116	0	-1969.59	-1803.63	-165.964	1.044116	887.1315	0.1439409	0.13551
117	1	-2690.1	-2520.4	-169.7	2.160374	888.037	443	0
118	0	-1967.97	-1802.01	-165.964	1.044116	887.0498	0.1411427	0.13551
119	1	-2692.84	-2523.14	-169.7	2.160374	887.8876	443	0
120	0	-1965.33	-1799.37	-165.964	1.044116	887.0451	0.1356062	0.13551
121	1	-2695.01	-2525.31	-169.7	2.160374	888.0527	443	0
122	0	-1969.63	-1803.67	-165.964	1.044116	887.1009	0.1337641	0.13551
123	1	-2688.81	-2519.11	-169.7	2.160374	887.9289	443	0
124	0	-1970.97	-1805	-165.964	1.044116	887.1067	0.1454149	0.13551
125	1	-2686.71	-2517.01	-169.7	2.160374	888.0174	443	0
126	0	-1971.68	-1805.72	-165.964	1.044116	887.0653	0.1317834	0.13551
127	1	-2687.6	-2517.9	-169.7	2.160374	887.9998	443	0
128	0	-1971.88	-1805.92	-165.964	1.044116	887.1938	0.1475827	0.13551
129	1	-2690.59	-2520.89	-169.7	2.160374	887.9694	443	0
130	0	-1975.05	-1809.08	-165.964	1.044116	887.2239	0.1478053	0.13551
131	1	-2694.26	-2524.56	-169.7	2.160374	887.9878	443	0
132	0	-1974.24	-1808.28	-165.964	1.044116	887.1935	0.1437557	0.13551
133	1	-2694.5	-2524.8	-169.7	2.160374	887.9746	443	0
134	0	-1973.83	-1807.87	-165.964	1.044116	887.0922	0.1496358	0.13551
135	1	-2698.31	-2528.61	-169.7	2.160374	887.9249	443	0
136	0	-1970.46	-1804.49	-165.964	1.044116	887.1721	0.1344609	0.13551
137	1	-2695.67	-2525.97	-169.7	2.160374	887.954	443	0
138	0	-1968.45	-1802.48	-165.964	1.044116	887.0858	0.1505303	0.13551
139	1	-2696.49	-2526.79	-169.7	2.160374	887.9665	443	0
140	0	-1967.91	-1801.94	-165.964	1.044116	887.083	0.134454	0.13551
141	1	-2691.4	-2521.7	-169.7	2.160374	887.9866	443	0
142	0	-1969.59	-1803.63	-165.964	1.044116	887.0612	0.1397432	0.13551
143	1	-2689.35	-2519.65	-169.7	2.160374	887.9528	443	0
144	0	-1963.89	-1797.92	-165.964	1.044116	887.0824	0.1413595	0.13551
145	1	-2690.55	-2520.85	-169.7	2.160374	887.9909	443	0
146	0	-1969.64	-1803.68	-165.964	1.044116	887.1029	0.1430235	0.13551
147	1	-2687.84	-2518.14	-169.7	2.160374	887.9667	443	0
148	0	-1967.07	-1801.1	-165.964	1.044116	887.0401	0.1351088	0.13551
149	1	-2689.92	-2520.22	-169.7	2.160374	887.9245	443	0
150	0	-1976.24	-1810.28	-165.964	1.044116	887.207	0.1700757	0.13551
151	1	-2686.64	-2516.94	-169.7	2.160374	887.9967	443	0
152	0	-1974.29	-1808.33	-165.964	1.044116	887.1925	0.147542	0.13551
153	1	-2689.21	-2519.51	-169.7	2.160374	887.9725	443	0
154	0	-1970.84	-1804.88	-165.964	1.044116	887.1414	0.1323894	0.13551
155	1	-2693.95	-2524.25	-169.7	2.160374	888.0163	443	0
156	0	-1969.12	-1803.15	-165.964	1.044116	887.1318	0.1318991	0.13551
157	1	-2690.2	-2520.5	-169.7	2.160374	888.0353	443	0
158	0	-1970.66	-1804.69	-165.964	1.044116	887.1449	0.1404993	0.13551
159	1	-2692.39	-2522.69	-169.7	2.160374	888.0338	443	0
160	0	-1970	-1804.03	-165.964	1.044116	887.0914	0.1390947	0.13551
161	1	-2690.61	-2520.91	-169.7	2.160374	888.0816	443	0
162	0	-1966.2	-1800.24	-165.964	1.044116	887.2024	0.1398521	0.13551
163	1	-2686.62	-2516.92	-169.7	2.160374	888.0136	443	0
164	0	-1972.54	-1806.57	-165.964	1.044116	887.196	0.1360277	0.13551
165	1	-2693.86	-2524.16	-169.7	2.160374	887.9919	443	0
166	0	-1971.89	-1805.93	-165.964	1.044116	887.189	0.1444142	0.13551
167	1	-2691.96	-2522.26	-169.7	2.160374	887.9065	443	0
168	0	-1970.04	-1804.07	-165.964	1.044116	887.0564	0.1336556	0.13551
169	1	-2688.18	-2518.48	-169.7	2.160374	888.0018	443	0
170	0	-1969.49	-1803.53	-165.964	1.044116	887.1259	0.1501259	0.13551
171	1	-2692.56	-2522.86	-169.7	2.160374	887.8949	443	0
172	0	-1970.13	-1804.17	-165.964	1.044116	886.9763	0.1383724	0.13551
173	1	-2692.39	-2522.69	-169.7	2.160374	888.0347	443	0
174	0	-1966.34	-1800.37	-165.964	1.044116	887.1103	0.1426332	0.13551
