Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	tmrca_Ursidae	turnover
1060	-2015.67	-1985.69	-29.98	0.3232189	0.0001325251	0.2262869	0.2998959	0.09693205	0.006295	0.305488	0.101014	0.0594924	0.524757	0.00295419	49.11058	0.203977	0.318318	0.318668	0.159037	49.11058	0.7001041
1070	-2010.65	-1980.53	-30.1194	0.3415306	0.0001363628	0.1958386	0.4265855	0.145692	0.000164637	0.205739	0.357356	0.0400668	0.353412	0.0432609	50.64308	0.188511	0.310609	0.325954	0.174926	50.64308	0.5734145
1080	-2008.69	-1979.45	-29.2441	0.5921796	0.0001558104	0.4170146	0.2957971	0.175165	1.60605e-005	0.265082	0.253871	0.0432567	0.403669	0.0341049	46.17718	0.177623	0.31822	0.338002	0.166155	46.17718	0.7042029
1090	-2010.1	-1982.77	-27.3291	0.6325189	0.0001510435	0.4986376	0.2116637	0.1338813	0.000243263	0.472019	0.128972	0.0903718	0.28199	0.0264029	47.07879	0.188906	0.32803	0.306	0.177064	47.07879	0.7883363
1100	-2010.45	-1982.4	-28.0482	0.3965043	0.0002478229	0.1089497	0.7252243	0.2875546	0.00010767	0.379033	0.115788	0.0795749	0.411552	0.0139443	48.60585	0.18172	0.329998	0.320239	0.168043	48.60585	0.2747757
1110	-2008.92	-1980.64	-28.2758	0.2807329	0.0001308409	0.1661526	0.4081472	0.1145803	0.000332795	0.365193	0.10613	0.0725714	0.434437	0.0213355	48.76869	0.185787	0.327047	0.314413	0.172753	48.76869	0.5918528
1120	-2011.58	-1983.3	-28.2758	0.4133029	0.0002115208	0.1952735	0.5275294	0.2180294	0.00783851	0.44224	0.0374343	0.0775475	0.410013	0.0249269	46.03694	0.173735	0.314747	0.333845	0.177674	46.03694	0.4724706
1130	-2010.37	-1979.57	-30.7933	0.2975688	0.0001976665	0.1339081	0.5499928	0.1636607	0.00409724	0.417076	0.07538	0.026766	0.452906	0.0237747	56.73419	0.181953	0.323484	0.328262	0.1663	56.73419	0.4500072
1140	-2011.83	-1981.54	-30.2852	0.169347	0.0001338604	0.08664594	0.4883528	0.08270108	0.00140477	0.334784	0.141855	0.0972382	0.372323	0.0523953	45.75482	0.190795	0.328218	0.326484	0.154502	45.75482	0.5116472
1150	-2011.44	-1981.47	-29.9709	0.7408226	0.0001967452	0.6128464	0.1727489	0.1279763	0.00209147	0.273605	0.213104	0.0436686	0.395131	0.0723991	45.51937	0.196045	0.331401	0.320977	0.151576	45.51937	0.8272511
1160	-2006.07	-1978.13	-27.937	0.780602	0.0001769337	0.523024	0.3299735	0.257578	0.0022777	0.297967	0.110263	0.0803328	0.430314	0.0788456	50.28807	0.186704	0.319937	0.314881	0.178477	50.28807	0.6700265
1170	-2013.26	-1984.01	-29.2501	0.2500647	0.0001926485	0.1716651	0.3135171	0.07839954	0.030223	0.415428	0.112792	0.0280143	0.358021	0.0555219	46.35018	0.180555	0.307709	0.316959	0.194776	46.35018	0.6864829
1180	-2014.22	-1985.58	-28.6364	0.2820349	0.0001275755	0.1098862	0.6103808	0.1721487	0.0599332	0.254449	0.0768134	0.0255068	0.533611	0.0496867	44.92259	0.19086	0.29935	0.335909	0.173882	44.92259	0.3896192
1190	-2014.58	-1984.95	-29.6328	0.1527725	0.0001771207	0.06440451	0.5784287	0.088368	0.0520122	0.486225	0.104071	0.0269475	0.32887	0.00187349	47.61308	0.18485	0.358267	0.30378	0.153103	47.61308	0.4215713
1200	-2010.11	-1983.21	-26.9047	1.018669	0.0001870102	0.7449258	0.2687265	0.2737435	0.0869425	0.373247	0.224051	0.0512389	0.26308	0.00144011	47.2291	0.172904	0.321654	0.308539	0.196903	47.2291	0.7312735
1210	-2015.72	-1984.54	-31.1794	0.02638089	0.0001133208	0.01719253	0.3482959	0.009188355	0.0755105	0.324169	0.180417	0.0576544	0.359606	0.00264258	51.54687	0.188534	0.33309	0.29844	0.179936	51.54687	0.6517041
1220	-2005.84	-1976.94	-28.8991	0.2834934	0.0001653513	0.06020474	0.7876326	0.2232886	0.0189663	0.312494	0.153078	0.0271231	0.486746	0.00159349	51.28468	0.185859	0.33695	0.302466	0.174725	51.28468	0.2123674
1230	-2010.86	-1980.86	-29.9946	0.4848732	0.0002148423	0.4216046	0.1304848	0.06326857	0.0192416	0.376604	0.276504	0.059627	0.265675	0.00234768	45.10371	0.182333	0.318437	0.311136	0.188094	45.10371	0.8695152
1240	-2012.86	-1979.9	-32.9597	0.1268794	0.0001321707	0.0526268	0.5852219	0.07425262	0.0215149	0.297116	0.309172	0.063511	0.297063	0.0116231	54.60668	0.192499	0.327379	0.315826	0.164296	54.60668	0.4147781
1250	-2006.99	-1979.78	-27.2079	0.4077687	0.0001802441	0.1907756	0.5321475	0.2169931	0.0159032	0.309178	0.0965488	0.0574611	0.502721	0.0181884	49.37875	0.170823	0.326442	0.323973	0.178763	49.37875	0.4678525
1260	-2009.17	-1982.4	-26.7611	0.5866397	0.0001954019	0.2789975	0.5244142	0.3076422	0.0170742	0.289332	0.0425832	0.0593982	0.578965	0.0126472	45.99895	0.189002	0.332312	0.312224	0.166461	45.99895	0.4755858
1270	-2006.67	-1977.09	-29.5788	0.8175172	0.0001616802	0.6314732	0.227572	0.186044	0.024016	0.40597	0.108582	0.0590333	0.386404	0.0159955	51.22685	0.18234	0.32654	0.329847	0.161273	51.22685	0.772428
1280	-2009.29	-1980.59	-28.7004	0.3600654	0.0001742651	0.2498538	0.3060877	0.1102116	0.0570221	0.284912	0.148898	0.0857651	0.402115	0.0212875	47.38839	0.200565	0.331729	0.296122	0.171584	47.38839	0.6939123
1290	-2007.16	-1979.8	-27.3639	0.3339537	0.0002086153	0.1469299	0.5600293	0.1870238	0.0160215	0.200193	0.296787	0.0486442	0.410543	0.027811	46.59843	0.192405	0.305562	0.324744	0.17729	46.59843	0.4399707
1300	-2011.08	-1980.6	-30.4846	0.2585973	0.000136507	0.05311925	0.794587	0.205478	0.0129124	0.364954	0.198606	0.0462246	0.313047	0.0642564	50.3254	0.203235	0.324883	0.305487	0.166395	50.3254	0.205413
1310	-2009.02	-1980.98	-28.0364	0.4502738	0.0002070254	0.258029	0.4269509	0.1922448	0.0023936	0.366117	0.202605	0.0560669	0.348612	0.0242053	49.76216	0.187591	0.292229	0.328399	0.191781	49.76216	0.5730491
1320	-2009.59	-1978.98	-30.6057	0.6619725	0.0002227527	0.31936	0.517563	0.3426124	0.00400889	0.475342	0.0934005	0.0436729	0.381603	0.00197304	44.5913	0.200739	0.298538	0.325922	0.174801	44.5913	0.482437
1330	-2006.06	-1977.72	-28.3365	1.716423	0.0001830904	1.617899	0.05740094	0.09852432	0.0109586	0.364955	0.111375	0.0649236	0.443523	0.00426451	47.40149	0.186001	0.326655	0.32301	0.164333	47.40149	0.9425991
1340	-2005.24	-1978.05	-27.1956	0.3163784	0.0002045614	0.1227315	0.6120736	0.1936469	0.0376237	0.352407	0.206614	0.0626914	0.339809	0.000854531	49.45245	0.183737	0.334656	0.318185	0.163421	49.45245	0.3879264
1350	-2016.89	-1985.51	-31.3782	0.9933172	0.000224397	0.8998469	0.09409914	0.0934703	0.0213935	0.424786	0.089491	0.0706713	0.37869	0.0149684	53.96869	0.197903	0.308796	0.321537	0.171764	53.96869	0.9059009
1360	-2011.25	-1982.49	-28.7603	0.4130714	0.0002304701	0.20641	0.5003042	0.2066614	0.0106169	0.282723	0.048616	0.0183874	0.597326	0.0423313	49.01496	0.182439	0.303054	0.338002	0.176505	49.01496	0.4996958
1370	-2011.01	-1983.21	-27.8031	0.6159374	0.0001654419	0.4672017	0.2414786	0.1487357	0.00662951	0.355104	0.28561	0.0445915	0.247343	0.0607218	47.33481	0.176981	0.338222	0.320713	0.164084	47.33481	0.7585214
1380	-2009.04	-1978.79	-30.251	0.9083	0.0001350636	0.6171032	0.3205955	0.2911969	0.000764755	0.338039	0.204555	0.0319367	0.406119	0.0185861	45.67321	0.177429	0.324244	0.328273	0.170055	45.67321	0.6794045
1390	-2012.06	-1978.24	-33.8131	0.2291708	0.0001598296	0.05854604	0.744531	0.1706248	0.00054488	0.300496	0.162789	0.114082	0.416921	0.00516624	57.96219	0.178009	0.331768	0.31713	0.173094	57.96219	0.255469
1400	-2009.79	-1976.26	-33.5283	0.2388458	0.0001589326	0.01480349	0.9380207	0.2240423	0.000514896	0.326992	0.133598	0.0815654	0.452448	0.00488195	52.117	0.1919	0.332709	0.312487	0.162905	52.117	0.06197928
1410	-2012.55	-1981.8	-30.7552	0.2291569	0.0001861343	0.06529707	0.7150552	0.1638598	0.0127319	0.475095	0.100701	0.0210469	0.385223	0.00520229	46.42801	0.170482	0.317971	0.315396	0.19615	46.42801	0.2849448
1420	-2010.58	-1980.87	-29.7036	1.633692	0.0002158617	1.419899	0.1308651	0.2137933	0.0432455	0.48953	0.137949	0.048156	0.268438	0.0126813	46.01104	0.190335	0.306604	0.3301	0.172961	46.01104	0.8691349
1430	-2010.14	-1980.5	-29.6405	0.9034478	0.0002320195	0.8432195	0.06666493	0.06022828	0.0409582	0.34022	0.0808265	0.071187	0.441106	0.025703	44.82353	0.189385	0.315947	0.32779	0.166878	44.82353	0.9333351
1440	-2010.42	-1984.09	-26.3268	0.7208463	0.0001969864	0.4838865	0.3287246	0.2369599	0.0370501	0.223651	0.229615	0.0359794	0.399017	0.0746882	45.14186	0.179082	0.348442	0.301585	0.170891	45.14186	0.6712754
1450	-2010.82	-1980.62	-30.1969	0.5151183	0.000182548	0.247813	0.5189203	0.2673053	0.00406714	0.307294	0.183349	0.0273533	0.462425	0.0155114	47.88186	0.198181	0.346077	0.281999	0.173743	47.88186	0.4810797
1460	-2017.08	-1983.08	-33.9991	0.9718399	0.0001620367	0.679529	0.3007809	0.2923109	0.0051029	0.507046	0.0751625	0.0791292	0.329746	0.00381294	58.85559	0.180465	0.351418	0.304091	0.164026	58.85559	0.6992191
1470	-2005.96	-1978.97	-26.983	0.8643898	0.000235429	0.6995276	0.1907267	0.1648622	0.00569349	0.336089	0.121767	0.0316364	0.504742	7.17519e-005	47.52269	0.21251	0.30837	0.309202	0.169918	47.52269	0.8092733
1480	-2004.99	-1976.96	-28.0259	0.368062	0.0001755506	0.06086653	0.8346297	0.3071955	0.0276863	0.295557	0.10513	0.0533227	0.517706	0.000598696	47.31248	0.179732	0.334392	0.315672	0.170203	47.31248	0.1653703
1490	-2012.67	-1982.62	-30.0439	1.901093	0.0002616385	1.645076	0.1346685	0.2560174	0.0277318	0.46064	0.116214	0.0628492	0.326512	0.00605265	49.22766	0.183389	0.340819	0.302751	0.173041	49.22766	0.8653315
1500	-2009.23	-1980.08	-29.1469	1.779811	0.0002073876	1.605798	0.09777098	0.1740139	0.0399035	0.339696	0.135465	0.112484	0.370284	0.00216774	50.26211	0.187706	0.313569	0.315859	0.182866	50.26211	0.902229
1510	-2018.39	-1986.64	-31.7561	0.1600029	0.0002258537	0.02605405	0.8371651	0.1339488	0.034285	0.43673	0.0902743	0.0832829	0.352354	0.00307437	52.03173	0.176375	0.318296	0.319061	0.186269	52.03173	0.1628349
1520	-2009.09	-1980.5	-28.5843	0.5569537	0.0001487144	0.3387001	0.3918703	0.2182536	0.0411494	0.335849	0.119438	0.111503	0.388045	0.00401568	45.80399	0.197039	0.308594	0.327856	0.166511	45.80399	0.6081297
1530	-2010.37	-1980.43	-29.9344	0.3867636	0.0001172215	0.3568311	0.07739221	0.02993249	0.00921767	0.317736	0.12708	0.0811419	0.454002	0.0108225	46.7402	0.17362	0.326265	0.322615	0.1775	46.7402	0.9226078
1540	-2011.96	-1980.74	-31.2232	0.00978916	0.0001400056	0.0007649707	0.9218553	0.009024189	0.0077069	0.335152	0.15024	0.0998302	0.379591	0.0274797	47.67133	0.193586	0.323245	0.305381	0.177788	47.67133	0.07814468
1550	-2013.7	-1983.01	-30.6836	0.2100426	0.0001530019	0.07142514	0.6599493	0.1386175	0.00258797	0.517152	0.0659536	0.0912495	0.30095	0.0221067	53.4988	0.171387	0.344884	0.303743	0.179986	53.4988	0.3400507
1560	-2009.68	-1981.52	-28.1645	1.343009	0.0001533624	1.281503	0.04579682	0.06150553	0.035321	0.222472	0.221075	0.0212538	0.482649	0.0172288	48.49936	0.180884	0.341966	0.310952	0.166198	48.49936	0.9542032
1570	-2009.27	-1979.37	-29.9021	1.016211	0.0001728066	0.9812262	0.034427	0.03498511	0.00937587	0.302557	0.228862	0.0301364	0.420272	0.00879687	47.98523	0.184069	0.340661	0.320039	0.155231	47.98523	0.965573
1580	-2010.85	-1980.08	-30.7722	0.1684735	0.0001678326	0.1211204	0.2810715	0.04735311	0.00892514	0.300143	0.191517	0.075297	0.415617	0.00850105	44.87274	0.192001	0.306825	0.314769	0.186405	44.87274	0.7189285
1590	-2007.79	-1977.8	-29.9951	0.1853033	0.0001396081	0.07934109	0.5718312	0.1059622	0.0296757	0.305289	0.0849971	0.112606	0.465648	0.0017844	49.12864	0.192021	0.311305	0.320927	0.175747	49.12864	0.4281688
1600	-2011.15	-1979.98	-31.1722	0.09929525	0.000143027	0.05702208	0.425732	0.04227317	0.00609503	0.414124	0.0658765	0.018894	0.491041	0.00396888	48.83241	0.199435	0.327462	0.309304	0.163799	48.83241	0.574268
1610	-2015.54	-1985.04	-30.4972	0.0236991	0.0001148137	0.008646649	0.6351487	0.01505245	0.0293231	0.433299	0.242561	0.0353272	0.257378	0.00211176	48.88526	0.162685	0.337376	0.314831	0.185108	48.88526	0.3648513
1620	-2016.07	-1986.1	-29.9638	0.02423221	0.0001531162	0.01267129	0.477089	0.01156092	0.0597105	0.385104	0.239073	0.076302	0.238246	0.00156416	49.11942	0.191986	0.315101	0.322952	0.169961	49.11942	0.522911
1630	-2012.5	-1981	-31.4984	0.3400765	0.0001328769	0.2516721	0.2599545	0.08840444	0.0406637	0.390872	0.117563	0.0337989	0.412838	0.00426448	50.64013	0.171013	0.342128	0.310149	0.176711	50.64013	0.7400455
1640	-2007.33	-1979.77	-27.562	0.4897103	0.0001847283	0.2671942	0.4543832	0.2225161	0.0190916	0.458111	0.141395	0.0375705	0.341663	0.00216887	46.57954	0.205924	0.294369	0.320328	0.179379	46.57954	0.5456168
1650	-2015.02	-1982.9	-32.127	0.1310311	0.0001239922	0.03801917	0.7098461	0.09301191	0.0715499	0.279861	0.0477064	0.0703432	0.517818	0.0127213	48.62893	0.188743	0.334713	0.31813	0.158414	48.62893	0.2901539
1660	-2014.78	-1984.97	-29.8121	0.6389691	0.0002405465	0.4751607	0.2563635	0.1638083	0.0526665	0.274154	0.140921	0.0216109	0.507258	0.00338969	50.7472	0.173641	0.320476	0.313299	0.192583	50.7472	0.7436365
1670	-2011.86	-1984.12	-27.7408	0.310458	0.0001664974	0.08356699	0.7308267	0.226891	0.0511545	0.266284	0.155836	0.0283628	0.492696	0.00566658	46.21495	0.204425	0.323165	0.316356	0.156054	46.21495	0.2691733
1680	-2013.99	-1983.35	-30.6388	0.5399606	0.0001660505	0.4405399	0.1841258	0.09942069	0.0447225	0.247034	0.0517997	0.042244	0.612977	0.00122318	49.83999	0.195436	0.320489	0.325759	0.158316	49.83999	0.8158742
1690	-2016.65	-1986.5	-30.1505	0.4100408	0.0001687744	0.2989323	0.2709693	0.1111084	0.0517029	0.377795	0.161949	0.0783145	0.327735	0.0025046	47.95666	0.180637	0.334785	0.302634	0.181944	47.95666	0.7290307
1700	-2006.68	-1979.86	-26.8134	0.7013127	0.0002809467	0.5217558	0.2560297	0.1795569	0.0337909	0.315769	0.0837457	0.0348879	0.529766	0.0020399	49.64771	0.186144	0.335985	0.307213	0.170657	49.64771	0.7439703
1710	-2008.91	-1978.43	-30.4859	0.3359877	0.0001917715	0.1216733	0.6378637	0.2143143	0.028681	0.421226	0.11403	0.0179839	0.413523	0.00455566	43.63556	0.194485	0.33243	0.307374	0.165711	43.63556	0.3621363
1720	-2011.28	-1980.47	-30.8137	0.8666322	0.000159063	0.7600874	0.1229412	0.1065448	0.0190073	0.356278	0.160014	0.0427711	0.400405	0.0215244	47.05349	0.170201	0.313112	0.348512	0.168175	47.05349	0.8770588
1730	-2015.51	-1986.21	-29.293	0.3153858	0.0002148842	0.0518399	0.8356302	0.2635459	0.0260708	0.321936	0.188669	0.0816438	0.333434	0.0482458	46.06127	0.19713	0.330219	0.301201	0.17145	46.06127	0.1643698
1740	-2015.74	-1986.42	-29.3223	0.7904767	0.0001567705	0.5370189	0.3206392	0.2534578	0.0511381	0.339807	0.116459	0.120908	0.286615	0.0850725	49.47209	0.192298	0.303719	0.311443	0.19254	49.47209	0.6793608
1750	-2008.6	-1980.25	-28.3431	0.3058295	0.000222807	0.09094791	0.7026189	0.2148816	0.0382773	0.239478	0.0736793	0.0852889	0.534179	0.0290977	49.16248	0.180553	0.32567	0.320458	0.173319	49.16248	0.2973811
1760	-2011.93	-1980.99	-30.938	0.1487097	0.0001552861	0.04084499	0.7253373	0.1078647	0.0290923	0.43958	0.0457787	0.0816616	0.381955	0.0219329	50.77658	0.17585	0.313218	0.321015	0.189917	50.77658	0.2746627
1770	-2009.12	-1979.29	-29.8244	0.3457613	0.0001466324	0.2671535	0.2273468	0.07860773	0.0149571	0.354222	0.11419	0.0525642	0.447848	0.0162184	48.62892	0.17412	0.32737	0.317312	0.181198	48.62892	0.7726532
1780	-2010.72	-1981.84	-28.8746	0.9845614	0.0001808063	0.7611489	0.2269158	0.2234125	0.0189502	0.281269	0.128764	0.102181	0.433058	0.0357766	48.62037	0.205265	0.318427	0.297743	0.178565	48.62037	0.7730842
1790	-2009.94	-1984.62	-25.3226	1.419607	0.0003009298	1.207428	0.149463	0.2121787	0.0114653	0.413462	0.132073	0.053954	0.367401	0.0216456	46.50785	0.161208	0.348519	0.310202	0.18007	46.50785	0.850537
1800	-2011.11	-1983.15	-27.9572	0.4764744	0.0002289301	0.3159003	0.3370046	0.1605741	0.011516	0.258147	0.0536485	0.0796057	0.563863	0.0332203	49.18902	0.207412	0.326682	0.289285	0.176621	49.18902	0.6629954
1810	-2012.05	-1981.68	-30.3685	0.1941792	0.0002004903	0.01289837	0.9335749	0.1812809	0.00178551	0.307886	0.22098	0.0787116	0.363549	0.0270884	52.3295	0.184106	0.348548	0.307278	0.160068	52.3295	0.06642509
1820	-2009.84	-1980.4	-29.444	0.488276	0.000128423	0.4615246	0.0547875	0.02675142	0.00594809	0.415057	0.105937	0.0777092	0.385011	0.0103374	48.28951	0.190666	0.330248	0.325736	0.153349	48.28951	0.9452125
1830	-2006.8	-1978.75	-28.0473	0.3529825	0.0002042691	0.1778308	0.496205	0.1751517	0.00346043	0.381747	0.128776	0.0485768	0.433736	0.00370431	46.45729	0.185001	0.312723	0.314469	0.187807	46.45729	0.503795
1840	-2020.47	-1986.45	-34.0269	0.2623067	0.0001449587	0.06584136	0.7489909	0.1964653	0.00817025	0.27176	0.124299	0.151571	0.434841	0.00935908	51.00375	0.211345	0.325738	0.307631	0.155286	51.00375	0.2510091
1850	-2012.92	-1984.44	-28.4732	0.2740622	0.0001228254	0.1623413	0.4076481	0.1117209	0.00830199	0.305171	0.0540159	0.0735702	0.52532	0.0336212	47.60954	0.198275	0.313035	0.324142	0.164547	47.60954	0.5923519
1860	-2011.59	-1981.6	-29.9908	0.2655775	0.0001518392	0.104601	0.6061376	0.1609765	0.0515446	0.290915	0.0677389	0.0440245	0.473888	0.071889	47.12421	0.175271	0.326928	0.31958	0.178221	47.12421	0.3938624
1870	-2008.3	-1981.89	-26.4096	0.4088715	0.0002324939	0.1399898	0.657619	0.2688817	0.0172915	0.375613	0.184121	0.014514	0.384344	0.0241164	51.28118	0.166831	0.341517	0.316599	0.175053	51.28118	0.342381
1880	-2008.11	-1978.93	-29.1808	0.3221573	0.0001376681	0.1608407	0.5007387	0.1613166	0.0245507	0.400101	0.150664	0.0212326	0.384939	0.0185126	53.11546	0.187225	0.349555	0.297596	0.165624	53.11546	0.4992613
1890	-2008.17	-1980.94	-27.2293	0.309102	0.0002272813	0.0464005	0.8498861	0.2627015	0.0389833	0.353385	0.133072	0.0363284	0.407815	0.0304164	48.4665	0.186578	0.313894	0.320348	0.17918	48.4665	0.1501139
1900	-2011.31	-1982.14	-29.1727	0.219019	0.0002004625	0.07574927	0.654143	0.1432698	0.0264019	0.350333	0.131567	0.0426942	0.403203	0.045801	50.0108	0.182375	0.333887	0.320581	0.163158	50.0108	0.345857
1910	-2008.28	-1980.79	-27.497	0.3793507	0.0001654744	0.2563569	0.324222	0.1229938	0.0103587	0.322725	0.11702	0.0524542	0.442512	0.0549303	47.16962	0.167382	0.343851	0.316544	0.172222	47.16962	0.675778
1920	-2010.19	-1982.34	-27.8464	0.4175849	0.0001167044	0.2816345	0.3255636	0.1359505	0.0067978	0.249067	0.177138	0.0381176	0.480272	0.0486067	47.36345	0.18762	0.331186	0.31222	0.168974	47.36345	0.6744364
1930	-2015.87	-1986.03	-29.8344	0.487249	0.0001796263	0.3719858	0.2365592	0.1152632	0.0165384	0.266126	0.125711	0.100304	0.427055	0.0642658	51.89256	0.177959	0.323589	0.327775	0.170676	51.89256	0.7634408
1940	-2015.04	-1986.42	-28.6181	0.7641287	0.0002294581	0.5907791	0.2268592	0.1733496	0.0298769	0.333873	0.0943069	0.0707558	0.45067	0.0205181	50.70237	0.163988	0.304212	0.323571	0.208229	50.70237	0.7731408
1950	-2011.32	-1984.46	-26.8587	1.127848	0.0001899734	0.7999368	0.2907404	0.3279108	0.0386004	0.431905	0.0907608	0.0661617	0.347904	0.0246678	48.2124	0.191309	0.347331	0.290482	0.170878	48.2124	0.7092596
1960	-2005.62	-1977.9	-27.7215	0.5174391	0.0002013651	0.1957387	0.6217165	0.3217004	0.00149915	0.263808	0.142474	0.0265909	0.55758	0.00804844	46.609	0.191618	0.310305	0.312313	0.185764	46.609	0.3782835
1970	-2012.67	-1982.76	-29.9107	0.1248035	0.0001589171	0.07305917	0.4146063	0.05174431	0.0400379	0.225937	0.0771636	0.0652096	0.573708	0.0179434	46.723	0.185628	0.323243	0.315682	0.175448	46.723	0.5853937
1980	-2017.15	-1985.98	-31.1746	0.281203	0.0002232092	0.007265345	0.9741633	0.2739376	0.0282978	0.291306	0.0323374	0.0889102	0.554216	0.00493308	44.99011	0.173924	0.329292	0.31875	0.178034	44.99011	0.02583666
1990	-2013.11	-1984.83	-28.2851	1.024632	0.0001820787	0.9088332	0.1130152	0.115799	0.0478082	0.285617	0.0457043	0.0936128	0.524472	0.00278542	47.55252	0.180039	0.314448	0.353406	0.152107	47.55252	0.8869848
2000	-2013.91	-1982.92	-30.9962	0.2045407	0.0001931622	0.1069552	0.4770956	0.09758546	0.0517114	0.308936	0.118453	0.0735636	0.444963	0.00237376	44.74749	0.184101	0.347104	0.309568	0.159227	44.74749	0.5229044
2010	-2008.94	-1977.85	-31.0907	0.06563915	0.0001760266	0.02531584	0.6143179	0.04032331	0.032652	0.27697	0.192738	0.0539462	0.43946	0.00423386	47.85977	0.195519	0.313772	0.329725	0.160984	47.85977	0.3856821
2020	-2013.73	-1984.65	-29.0852	0.751189	0.0002281643	0.6597612	0.1217108	0.09142784	0.0169731	0.176565	0.323091	0.0218446	0.44722	0.0143067	46.23013	0.182452	0.341965	0.307318	0.168265	46.23013	0.8782892
2030	-2009.06	-1981.19	-27.8666	0.3430226	0.0001812982	0.1095569	0.6806131	0.2334657	0.060122	0.227943	0.0834208	0.0819444	0.54242	0.00415025	47.81507	0.199286	0.318529	0.313658	0.168526	47.81507	0.3193869
2040	-2011.27	-1983.1	-28.1712	0.2484742	0.0001868532	0.1071196	0.5688905	0.1413546	0.0527232	0.199892	0.159661	0.12549	0.451658	0.0105761	49.13152	0.20773	0.315809	0.309374	0.167087	49.13152	0.4311095
2050	-2015.09	-1987.22	-27.8737	0.3290752	0.0002622321	0.1220617	0.6290765	0.2070135	0.0549729	0.208421	0.202325	0.109104	0.389866	0.0353114	46.85244	0.172884	0.3219	0.339133	0.166083	46.85244	0.3709235
2060	-2012.37	-1984.8	-27.5665	0.8591007	0.0002671664	0.6306476	0.2659212	0.2284531	0.01421	0.257454	0.0617245	0.101962	0.535212	0.0294373	46.65622	0.185502	0.312171	0.297738	0.204588	46.65622	0.7340788
2070	-2014.17	-1984.35	-29.8226	0.2511388	0.0001960569	0.1509154	0.3990757	0.1002234	0.00419188	0.423213	0.186978	0.0277348	0.355112	0.00277038	48.75313	0.185715	0.32313	0.319146	0.172009	48.75313	0.6009243
2080	-2009.13	-1979.53	-29.6001	0.2982111	0.0002418908	0.1555767	0.4782999	0.1426343	0.00207945	0.331532	0.154808	0.066132	0.375982	0.0694659	45.45613	0.174275	0.320652	0.322512	0.182561	45.45613	0.5217001
2090	-2009.96	-1978.5	-31.4548	0.586465	0.0001882123	0.4119971	0.2974907	0.1744679	0.00371446	0.354167	0.222002	0.0697132	0.327179	0.0232249	44.06526	0.193078	0.333816	0.311912	0.161194	44.06526	0.7025093
2100	-2011.64	-1979.12	-32.5235	0.2640454	0.0001171927	0.03999676	0.8485231	0.2240486	0.00406678	0.388554	0.0989635	0.0552267	0.436129	0.0170603	50.27216	0.192896	0.30535	0.337053	0.1647	50.27216	0.1514769
2110	-2013.16	-1979.65	-33.5032	0.1619196	0.0001405269	0.0377955	0.7665785	0.1241241	0.00504042	0.321899	0.061982	0.0655369	0.542591	0.00295024	56.23945	0.188382	0.329309	0.328121	0.154188	56.23945	0.2334215
2120	-2010.53	-1982.83	-27.7034	0.3447729	0.0001334989	0.1009465	0.7072086	0.2438264	0.00854776	0.276297	0.0921259	0.0480263	0.573287	0.00171621	49.00513	0.184679	0.342661	0.290109	0.182552	49.00513	0.2927914
2130	-2010.64	-1982.02	-28.619	0.3495623	0.0001404697	0.2450516	0.298976	0.1045107	0.032625	0.376963	0.165681	0.085508	0.319911	0.0193118	46.65469	0.182369	0.333113	0.325188	0.159329	46.65469	0.701024
2140	-2008.19	-1979.06	-29.1293	0.5150817	0.0001443391	0.2388927	0.5362042	0.2761889	0.019126	0.308772	0.13571	0.0403714	0.480202	0.0158183	48.93398	0.19921	0.297252	0.327571	0.175967	48.93398	0.4637958
2150	-2010.98	-1980.63	-30.3459	0.1048667	0.0001489772	0.08705687	0.1698329	0.01780981	0.02341	0.479678	0.0674561	0.0306476	0.370116	0.0286931	48.32655	0.171859	0.338047	0.324652	0.165441	48.32655	0.8301671
2160	-2013.24	-1981.3	-31.9415	0.3310584	0.0001625059	0.2699924	0.1844569	0.061066	0.0387553	0.298479	0.0514602	0.0449633	0.559714	0.00662839	54.3064	0.188714	0.317471	0.301242	0.192574	54.3064	0.8155431
2170	-2011.6	-1978.72	-32.8847	0.08850549	0.000170003	0.03934053	0.5555019	0.04916497	0.0295204	0.382955	0.112493	0.0342491	0.426341	0.0144424	43.8387	0.195518	0.329756	0.305723	0.169003	43.8387	0.4444981
2180	-2009.97	-1979.39	-30.5716	0.07941694	0.0001246968	0.06489195	0.1828953	0.01452499	0.0149613	0.381914	0.0722156	0.0728537	0.453337	0.00471797	48.86957	0.199948	0.319243	0.294919	0.18589	48.86957	0.8171047
2190	-2011.84	-1980.61	-31.2326	0.5110237	0.000142941	0.4426774	0.1337438	0.06834626	0.0359212	0.333169	0.121641	0.0996037	0.407394	0.00227143	50.3461	0.187511	0.323042	0.314532	0.174915	50.3461	0.8662562
2200	-2011.63	-1983.09	-28.545	0.4133471	0.0002058241	0.3249645	0.2138217	0.08838257	0.0129848	0.32159	0.00959464	0.0141872	0.631937	0.0097067	49.8603	0.179199	0.332021	0.30669	0.18209	49.8603	0.7861783
